id,empresa_id,entity,json_column,key,type,required,description,default_value,list_values,created_at
0754fbf9-a48d-4dd3-992f-2b345f541dac,1,informacion_financiera,detalle_financiera,honorarios,number,false,Honorarios,0,,2025-08-18 00:06:31.559519+00
0f52fbb7-72bb-498f-90c5-e76e3e2a8074,1,actividad_economica,detalle_actividad,direccion_negocio,string,false,Dirección del negocio,,,2025-08-18 00:06:31.559519+00
141ab1a1-a3be-4270-a4c4-8ae8d2b96f79,1,actividad_economica,detalle_actividad,empresa_pagadora_pension,string,false,Entidad pagadora de pensión (si pensionado),,,2025-08-18 00:06:31.559519+00
17929dac-07d1-4f66-a4d4-49422d6493bf,1,informacion_financiera,detalle_financiera,detalle_otros_ingresos,object,false,Detalle de otros ingresos,,"{""object_structure"":[{""key"":""concepto"",""type"":""string"",""required"":true},{""key"":""valor"",""type"":""number"",""required"":true}]}",2025-08-18 00:06:31.559519+00
228416bf-9536-4535-8233-b54bffc98826,1,actividad_economica,detalle_actividad,numero_empleados,integer,false,Número de empleados del negocio,0,,2025-08-18 00:06:31.559519+00
26127a8a-c047-4079-b3b6-e35207e05e51,1,solicitante,info_extra,estado_civil,array,false,Estado civil,,"{""enum"":[""soltero"",""casado"",""union_libre"",""divorciado"",""viudo""]}",2025-08-18 00:06:31.559519+00
2626e8a7-86eb-461a-9759-9cc9ad5bbe28,1,informacion_financiera,detalle_financiera,gastos_personales_mensuales,number,false,Gastos personales mensuales,0,,2025-08-18 00:06:31.559519+00
265a8ad0-3f24-4f07-8d28-6e5a37d51848,1,actividad_economica,detalle_actividad,fecha_constitucion,string,false,Fecha de constitución (YYYY-MM-DD),,,2025-08-18 00:06:31.559519+00
2f3f08b8-5392-4f47-8c6a-39b6b574ef41,1,solicitante,info_extra,profesion,string,false,Profesión u oficio,,,2025-08-18 00:06:31.559519+00
372d366d-0a32-4e4f-afbe-15f11a8b9def,1,actividad_economica,detalle_actividad,departamento_negocio,string,false,Departamento del negocio,,,2025-08-18 00:06:31.559519+00
377f7e42-acb3-4685-b1c6-9e9b95391716,1,informacion_financiera,detalle_financiera,ingresos_varios,number,false,Ingresos varios,0,,2025-08-18 00:06:31.559519+00
3cb978b8-975b-4ee4-b674-03aa99dd9e94,1,solicitudes,detalle_credito,garantia,array,false,Tipo de garantía,,"{""enum"":[""prendaria"",""hipotecaria"",""sin_garantia""]}",2025-08-18 00:06:31.559519+00
3cc0c6e2-1ab6-4f7c-b9c9-96da2aa771a9,1,actividad_economica,detalle_actividad,fecha_ingreso,string,false,Fecha de ingreso o vinculación (YYYY-MM-DD),,,2025-08-18 00:06:31.559519+00
413de321-1d6a-4537-9a53-811b7c2afb58,1,actividad_economica,detalle_actividad,nombre_negocio,string,false,Nombre del negocio (si aplica),,,2025-08-18 00:06:31.559519+00
4631afa6-9df3-480b-9e40-dfeb9d81699e,1,solicitante,info_extra,fecha_expedicion,string,false,Fecha de expedición del documento (YYYY-MM-DD),,,2025-08-18 00:06:31.559519+00
4d8ea8ba-6261-44f2-afff-7ac58c47d8fd,1,actividad_economica,detalle_actividad,paga_impuestos_fuera,object,false,Pago de impuestos fuera de Colombia,,"{""object_structure"":[{""key"":""aplica"",""type"":""boolean"",""required"":false},{""key"":""pais"",""type"":""string"",""required"":false}]}",2025-08-18 00:06:31.559519+00
4e108206-10d6-4e6f-824c-25857f70a95a,1,actividad_economica,detalle_actividad,fecha_pension,string,false,Fecha en la que se pensionó (YYYY-MM-DD),,,2025-08-18 00:06:31.559519+00
